CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
2-76-2,N,C16H17N1O1,ACETANILIDEN3ETHYLPHENYL,3.47,3.85,0.38,BioByte (1995)
2-76-3,N,C7H9CL3N4O1,SYMTRIAZINE2TRICHLOROMETHYL4ME..,3.33,3.71,0.38,BioByte (1995)
2-76-4,N,C16H24N2O3,4ETOCARBANILATEO2NPIPERIDINYLETHYL,3.0,3.38,0.38,BioByte (1995)
2-76-5,N,C10H13N1O2,HOMOPHENYLALANINE,-1.2,-0.79,0.41,BioByte (1995)
2-76-6,N,C11H11N1,PYRROLE1BENZYL,2.71,3.13,0.42,BioByte (1995)
2-76-7,N,C24H25Br1N2O1,ABROMONSBUTYLCINNAMAMIDECIS,2.66,3.08,0.42,BioByte (1995)
2-76-8,N,C9H12N4O3,PYRAZOLE3METHYL4NITRO5NNTETRAME..,0.25,0.67,0.42,BioByte (1995)
2-76-9,N,C8H16O2S2,DIHYDROLIPOICACID,2.41,2.85,0.44,BioByte (1995)
2-77-0,N,C13H15N3O2,DIOXOLANE2PTOLYL2124TRIAZOL1YLMETHYL,1.55,1.99,0.44,BioByte (1995)
2-77-1,N,C11H12N2O5S1,PHTHALIMIDOMETHYLSULFONE5NNDIMETHYLAMINO,1.65,2.09,0.44,BioByte (1995)
2-77-2,N,C23H28N2O6,BOCPHETYR,2.79,3.23,0.44,BioByte (1995)
2-77-3,N,C10H19N1O3,HEPTANOICACID2ACETYLAMINOMETHYLESTER,1.28,1.73,0.45,BioByte (1995)
2-77-4,N,C18H18CL1F1N2O2,OCHLORODIBENZOYL1TBUTYLHYDRAZINE3FLUORO,2.88,3.33,0.45,BioByte (1995)
2-77-5,N,C10H13N3O2,PHENYLACETICACIDP33DIMETHYL1TRIAZENO,1.38,1.84,0.46,BioByte (1995)
2-77-6,N,C18H18CL1F1N2O2,OCHLORODIBENZOYL1TBUTYLHYDRAZINE4FLUORO,2.87,3.33,0.46,BioByte (1995)
2-77-7,N,C6H12O2S2,BISNORLIPOICACIDDIHYDRO,1.4,1.87,0.47,BioByte (1995)
2-77-8,N,C10H13N1O1,n-Propylbenzamide,1.72,2.19,0.47,BioByte (1995)
2-77-9,N,C8H10N4O1,BENZAMIDE43METHYLTRIAZENYL,0.47,0.94,0.47,BioByte (1995)
2-78-0,N,C10H14N2,"1-Butenamine, N-methyl-4-(3-pyridinyl)-",1.13,1.61,0.48,BioByte (1995)
2-78-1,N,C11H13N1S1,4PHENYLBUTYLISOTHIOCYANATE,4.0,4.48,0.48,BioByte (1995)
2-78-2,N,C8H13N3O6,RP343,-1.47,-0.99,0.48,BioByte (1995)
2-78-3,N,C11H12Br1N1O3,GLUTARAMICACIDPBROMOPHENYL,1.12,1.6,0.48,BioByte (1995)
2-78-4,N,C10H13N5O2S1,DIDEOXYPURINE2AMINO6THIOL,-0.59,-0.11,0.48,BioByte (1995)
2-78-5,N,C9H14N4O3,PYRAZOLE3METHYL4NITRO5NBUTYLCARBOXAMIDO,1.27,1.75,0.48,BioByte (1995)
2-78-6,N,C39H67N5O6,3AZAGLUTARAMIDEANALOGA28,3.5,3.99,0.49,BioByte (1995)
2-78-7,N,C8H6N2S2,124THIADIAZOLE3PHENYL5THIOL,2.13,2.63,0.5,BioByte (1995)
2-78-8,N,C12H12N4O3,PYRAZOLE3METHYL4NITRO5NBENZYLCARBOXAMIDO,1.49,1.99,0.5,BioByte (1995)
2-78-9,N,C6H3I3O1,246TRIIODOPHENOL,4.5,5.01,0.51,BioByte (1995)
2-79-0,N,C8H10O4,HYDROQUINONE26DIMETHOXY,0.17,0.68,0.51,BioByte (1995)
2-79-1,N,C11H13CL1N4O2,IMIDAZOLIDINE2NITROMETHYLENE16CHLOR..,-0.23,0.28,0.51,BioByte (1995)
2-79-2,N,C10H12CL1N5O2,IMIDAZOLIDINE2NITROIMINO16CHLORO3PYR..,0.26,0.77,0.51,BioByte (1995)
2-79-3,N,C16H22N4O2S1,124OXADIAZOLE5DIETHYLAMINOETHYLTHIOHY..,2.47,2.98,0.51,BioByte (1995)
2-79-4,N,C10H13N5O1,9PROPYLNACETYLADENINE,0.09,0.61,0.52,BioByte (1995)
2-79-5,N,C9H14N4O4,IMIDAZOLE1NNDIMETHYLCARBAMOYLETHYL2ME..,0.47,0.99,0.52,BioByte (1995)
2-79-6,N,C15H17CL2N3O3,13DIOXANE224DICHLOROPHENYL2124TRIAZOL..,2.1,2.62,0.52,BioByte (1995)
2-79-7,N,C10H10N2,PYRAZOLE1BENZYL,1.78,2.31,0.53,BioByte (1995)
2-79-8,N,C27H33N1O3,NORETHINDRONENMETHYL14DIHYDRONICOTI..,4.44,4.97,0.53,BioByte (1995)
2-79-9,N,C5H7N3O2,IMIDAZOLE24DIMETHYL5NITRO,0.43,0.97,0.54,BioByte (1995)
2-80-0,N,C10H18N4O2S1,124OXADIAZOLE5DIETHYLAMINOETHYLTHIOHY..,0.71,1.27,0.56,BioByte (1995)
2-80-1,N,C10H8F1N3O2,IMIDAZOLE1METHYL5NITRO2PFLUOROPHENYL,1.83,2.39,0.56,BioByte (1995)
2-80-2,N,C12H15N1S1,5PHENYLPENTYLISOTHIOCYANATE,4.4,4.97,0.57,BioByte (1995)
2-80-3,N,C8H12N4O4,2METHYL5NITROIMIDAZOL2YLETHYLCARBAMI..,0.02,0.59,0.57,BioByte (1995)
2-80-4,N,C22H28N2O2,BENZAMIDEN33PIPERIDINYLMETHYLPHENOXY,3.97,4.54,0.57,BioByte (1995)
2-80-5,N,C19H21CL1N2O2,OCHLORODIBENZOYL1TBUTYLHYDRAZINE3METHYL,3.11,3.68,0.57,BioByte (1995)
2-80-6,N,C22H30O3,DESACETYLTHIOSPIRONOLACTONE,2.98,3.56,0.58,BioByte (1995)
2-80-7,N,C10H12N2S1,43PYRIDYLBUTYLISOTHIOCYANATE,2.7,3.29,0.59,BioByte (1995)
2-80-8,N,C20H25N1O4,NAPROXENNNDIETHYLGLYCOLAMIDEESTER,3.32,3.92,0.6,BioByte (1995)
2-80-9,N,C10H9N3O2,IMIDAZOLE1METHYL5NITRO2PHENYL,1.58,2.19,0.61,BioByte (1995)
2-81-0,N,C8H13N3O4S1,IMIDAZOLE12METHYLSULFONYLETHOXYME..,-0.84,-0.23,0.61,BioByte (1995)
2-81-1,N,C10H12N4O2S1,DIDEOXYPURINE6THIOL,-0.66,-0.05,0.61,BioByte (1995)
2-81-2,N,C5H7N3O2S1,IMIDAZOL1METHYL2METHYLTHIO5NITRO,0.94,1.57,0.63,BioByte (1995)
2-81-3,N,C16H18N2O1S1,BENZAMIDE2PTOLYLTHIOETHYLAMINO,3.15,3.79,0.64,BioByte (1995)
2-81-4,N,C14H16N4O4,DIOXOLANE24NITROPHENYL2124TRIAZ...,1.52,2.16,0.64,BioByte (1995)
2-81-5,N,C11H4CL7N3O1,SYMTRIAZINE24BISTRICHLOROMETHYL6PCH..,5.67,6.31,0.64,BioByte (1995)
2-81-6,N,C14H20O2,PHENYLCAPRYLICACID,4.09,4.74,0.65,BioByte (1995)
2-81-7,N,C9H12F2N4O4,2NITROIMIDAZOLE1NHYDROXYPROPYLBBDIFL..,-0.64,0.01,0.65,BioByte (1995)
2-81-8,N,C9H12N2O2,HYDRAZINECARBOXYLICACID2PHENYLETHYLESTER,1.22,1.88,0.66,BioByte (1995)
2-81-9,N,C15H14O3,PHENYLACETICACID2BENZYLOXY,2.0,2.66,0.66,BioByte (1995)
2-82-0,N,C21H30N2O3,1PPENTYLPHENOXYMETHYL22DIMETHYLPR..,5.26,5.92,0.66,BioByte (1995)
2-82-1,N,C20H28N2O4,PROPYLIMIDAZOLE1CARBOXYLATE DERIV.,4.29,4.96,0.67,BioByte (1995)
2-82-2,N,C18H26O7,BENZO18CROWN6ETHERMACETYL,-0.05,0.63,0.68,BioByte (1995)
2-82-3,N,C13H10S1,THIOXANTHENE,3.86,4.55,0.69,BioByte (1995)
2-82-4,N,C6H9N3O2,IMIDAZOLE2ETHYL4METHYL5NITRO,0.76,1.46,0.7,BioByte (1995)
2-82-5,N,C21H21N5O5,DIOXOLANE24PNITROBENZAMIDOPHENYL2124TR..,2.17,2.87,0.7,BioByte (1995)
2-82-6,N,C6H7N3O2,IMIDAZOLE1METHYL5NITRO2VINYL,0.62,1.33,0.71,BioByte (1995)
2-82-7,N,C10H13N1O2,PHENYLALANINENMETHYL,-1.53,-0.82,-0.71,BioByte (1995)
2-82-8,N,C15H13CL1O3,PHENYLACETICACID24CHLOROBENZYLOXY,2.6,3.31,0.71,BioByte (1995)
2-82-9,N,C16H17CL1N6O2,DIOXOLANE22CHLORO4124TRIAZOL1YLPH..,1.28,2.0,0.72,BioByte (1995)
2-83-0,N,C20H23N5O3S1,N46PURINYLTHIOVALERYLPHENYLGLYCINEETES,1.13,1.85,0.72,BioByte (1995)
2-83-1,N,C17H25N1O2,ALPHAPRODINE123TRIMETHYLANALOG,3.13,3.86,0.73,BioByte (1995)
2-83-2,N,C6H7N3O2,IMIDAZOLE1PROPARGYL5NITRO,0.52,1.27,0.75,BioByte (1995)
2-83-3,N,C16H26N6O2S1,CIMETIDINE1PIVALOYLMETHYLANALOG,1.81,2.57,0.76,BioByte (1995)
2-83-4,N,C20H31N3O3S1,1PROPYL6HYDROXYHEXAHYDROBENZOQUINOL..,2.63,3.39,0.76,BioByte (1995)
2-83-5,N,C34H43N1O3,O156,9.07,9.83,0.76,BioByte (1995)
2-83-6,N,C10H9N3O2,IMIDAZOLE1BENZYL4NITRO,1.36,2.13,0.77,BioByte (1995)
2-83-7,N,C13H13N1O3,34HYDROXYPHENYL21PYRROLYLPROPANOICACID,1.56,2.33,0.77,BioByte (1995)
2-83-8,N,C13H13CL2N3O3,DIOXOLANE224DICHLOROPHENYL2124TRIAZ..,1.76,2.53,0.77,BioByte (1995)
2-83-9,N,C6H9N3O2,IMIDAZOLE2ETHYL1METHYL5NITRO,0.68,1.46,0.78,BioByte (1995)
2-84-0,N,C12H12N2O1,1234TETRAHYDROCARBOLINE9FORMYL,0.26,1.04,0.78,BioByte (1995)
2-84-1,N,C5H4CL1N1O1,PYRIDINE2CHLORO6HYDROXY,0.93,1.72,0.79,BioByte (1995)
2-84-2,N,C13H21N1O3,4IPENTOXYMETHYLPYRIDOXOL,0.83,1.63,0.8,BioByte (1995)
2-84-3,N,C12H13N1O1,INDOLE12DIMETHYL3ACETYL,2.03,2.83,0.8,BioByte (1995)
2-84-4,N,C9H9CL1N4O2,IMIDAZOLIDINE2NITROMETHYLENE16CHLOR..,-0.23,0.57,0.8,BioByte (1995)
2-84-5,N,C10H14F2N4O4,KU3207,-0.29,0.51,0.8,BioByte (1995)
2-84-6,N,C8H10N4O3,PYRAZOLE3METHYL4NITRO5NCYCLOPROPYLCAR..,0.25,1.07,0.82,BioByte (1995)
2-84-7,N,C10H14N4O3,PYRAZOLE3METHYL4NITRO5NCYCLOPENTYLCAR..,1.24,2.06,0.82,BioByte (1995)
2-84-8,N,C7H11N3O5,RP170,-1.17,-0.34,0.83,BioByte (1995)
2-85-0,N,C11H18N4O4,2METHYL5NITROIMIDAZOL2YLETHYLCARBAMICA..,1.22,2.06,0.84,BioByte (1995)
2-85-1,N,C11H16N4O3,PYRAZOLE3METHYL4NITRO5NCYCLOHEXYLCAR..,1.71,2.55,0.84,BioByte (1995)
2-85-2,N,C13H20N4O4,2METHYL5NITROIMIDAZOL2YLETHYLCARBAMICA..,2.01,2.85,0.84,BioByte (1995)
2-85-3,N,C16H23N1O2,4PIPERIDINOL123TRIMETHYL4PHENYLACETATE,2.52,3.37,0.85,BioByte (1995)
2-85-5,N,C9H18O2S2,DIHYDROLIPOICACIDMETHYLESTER,2.27,3.13,0.86,BioByte (1995)
2-85-6,N,C18H28O5,BENZO15CROWN5ETHERMTBUTYL,2.26,3.13,0.87,BioByte (1995)
2-85-7,N,C12H12N4O3,IMIDAZOLE1METHYL5NITRO2PCARBOXAMIDOBZ..,0.55,1.42,0.87,BioByte (1995)
2-85-9,N,C16H23CL1N4O4,HYDROXYCCNU1METHYL14DIHYDRONICOTINIC..,2.53,3.41,0.88,BioByte (1995)
2-86-0,N,C42H73N5O7,3AZAGLUTARAMIDEANALOGA38,3.5,4.38,0.88,BioByte (1995)
2-86-1,N,C18H21N1O4,NAPROXENNNDIMETHYLGLYCOLAMIDEESTER,2.05,2.94,0.89,BioByte (1995)
2-86-2,N,C11H13CL1N4O2,HEXAHYDROPYRIMIDINE2NITROMETHYLENE..,-0.62,0.28,0.9,BioByte (1995)
2-86-3,N,C16H21N5O3,DIOXOLANE24NMETHYLUREIDOPHENYL2124TR..,0.62,1.53,0.91,BioByte (1995)
2-86-4,N,C15H21N1O2,KETOBEMIDONE,1.02,1.94,0.92,BioByte (1995)
2-86-5,N,C25H40O3,ACD,6.13,7.05,0.92,BioByte (1995)
2-86-6,N,C28H35N1O3,ETHISTERONENMETHYL14DIHYDRONICOTIN..,4.49,5.42,0.93,BioByte (1995)
2-86-7,N,C16H15CL1O4,PHENYLACETICACID23CHLORO4METHOXYBZ..,2.45,3.39,0.94,BioByte (1995)
2-86-8,N,C6H3CL6N3O1,2METHOXY46BISTRIFLUOROMETHYLSYMTRIAZINE,3.64,4.58,0.94,BioByte (1995)
2-86-9,N,C12H8O4,18NAPHTHALENEDICARBOXYLICACID,1.98,2.93,0.95,BioByte (1995)
2-87-0,N,C12H21N3O2,IMIDAZOLE1METHYL2HYDROXYIMINOME..,2.53,3.48,0.95,BioByte (1995)
2-87-1,N,C20H23N1O1,ABENZYLNSECBUTYLCINNAMAMIDE,3.99,4.94,0.95,BioByte (1995)
2-87-2,N,C22H33N1O4,KETOBEMIDONEHEXYLCARBONATE,3.38,4.33,0.95,BioByte (1995)
2-87-3,N,C13H14N8S1,GUANIDINENMETHYLNCYANON32NGUANIDYLTH..,1.6,2.56,0.96,BioByte (1995)
2-87-4,N,C13H12F1N1O2,34FLUOROPHENYL21PYRROLYLPROPANOICACID,2.04,3.01,0.97,BioByte (1995)
2-87-6,N,C8H8CL6N4,"s-Triazine,24bisTirCLMe-6-PrAm-",4.09,5.07,0.98,BioByte (1995)
2-87-7,N,C18H28O6,BENZO18CROWN6ETHERMETHYL,0.98,1.98,1.0,BioByte (1995)
2-87-8,N,C20H28O2,O178,6.26,7.26,1.0,BioByte (1995)
2-88-0,N,C18H20CL1N5O2,13DIOXANE22CHLORO4IMIDAZOL1YL Deriv,2.26,3.27,1.01,BioByte (1995)
2-88-1,N,C13H13N3,3AMINO14DIMETHYL5HPYRIDO43BINDOLE,1.97,3.02,1.05,BioByte (1995)
2-88-2,N,C11H10CL1N3O3,IMIDAZOLE1METHYL5NITRO2PCHLOROPHENOXYME,1.8,2.86,1.06,BioByte (1995)
2-88-3,N,C28H31N1O2,TERFENADINEKETODESTBUTYLANALOG,4.42,5.48,1.06,BioByte (1995)
2-88-4,N,C41H71N5O6,3AZAGLUTARAMIDEANALOGA35,3.8,4.86,1.06,BioByte (1995)
2-88-5,N,C5H2CL6N4,2AMINO46BISTRIFLUOROMETHYLSYMTRIAZINE,2.47,3.54,1.07,BioByte (1995)
2-88-6,N,C7H7Br1O2,HYDROQUINONE2METHYL6BROMO,1.38,2.47,1.09,BioByte (1995)
2-88-7,N,C13H13N3O5,1ETACETYL25NO22FURFURILIDENEIMIDAZOLE,1.27,2.36,1.09,BioByte (1995)
2-88-8,N,C6H8N2,PYRAZOLE1ALLYL,0.35,1.45,1.1,BioByte (1995)
2-88-9,N,C14H21N1O2,HEXANOICACID62PHENYLETHYLAMINO,-1.3,-0.18,1.12,BioByte (1995)
2-89-0,N,C10H16N4O2,RGW604,0.36,1.48,1.12,BioByte (1995)
2-89-2,N,C9H20O3,TRIETHYLORTHOPROPIONATE,1.97,3.1,1.13,BioByte (1995)
2-89-3,N,C20H32O6,BENZO18CROWN6ETHERMTBUTYL,1.71,2.85,1.14,BioByte (1995)
2-89-4,N,C23H28F1N3O1S1,R56865,5.37,6.51,1.14,BioByte (1995)
2-89-5,N,C10H13N1O2,METHYLCARBAMATEN26XYLYL,1.69,2.85,1.16,BioByte (1995)
2-89-6,N,C35H40O10,BISHELENALINYLGLUTARATE,1.37,2.54,1.17,BioByte (1995)
2-89-7,N,C16H14N2O2S1,14BENZODIAZEPIN2ONE13DIHYDRO7MeSO5Ph,0.8,2.02,1.22,BioByte (1995)
2-89-8,N,C11H20CL1N3O2,1NO12CLET316DIMETHYLCYCLOHEXYLUREA,2.57,3.8,1.23,BioByte (1995)
2-89-9,N,C9H11N3O2,IMIDAZOLE1BUTYN3YL2HYDROXYIMINOMETHYL,0.67,1.91,1.24,BioByte (1995)
2-90-0,N,C23H30O3,67BMETHYLENEDESACETYLTHIOSPIRONOLACTONE,2.54,3.79,1.25,BioByte (1995)
2-90-2,N,C15H20N4O2S1,124OXADIAZOLE3DIETHYLAMINOETHYLTHIO Der,2.13,3.44,1.31,BioByte (1995)
2-90-3,N,C9H13F3N4O3S1,MIDAZOLE13NMETHYLTRIFLUOROMETHYLSULF..,1.77,3.08,1.31,BioByte (1995)
2-90-4,N,C10H14O4,35DIMETHYL1CYCLOHEXENE12DICARBOXYLICACID,1.53,2.85,1.32,BioByte (1995)
2-90-5,N,C4H7N1O4S1,2OXOPROPANALOXIME1METHYLSULFONE,-0.69,0.65,1.34,BioByte (1995)
2-90-6,N,C5H9N1,1PYRROLINE2METHYL,1.87,3.22,1.35,BioByte (1995)
2-90-7,N,C18H20O5,23DIBENZO15CROWN5ETHER,2.21,3.58,1.37,BioByte (1995)
2-90-9,N,C16H17F3N4O3,DIOXOLANE24TRIFLUOROMETHYLACETAMIDO..,1.08,2.51,1.43,BioByte (1995)
2-91-0,N,C12H8N2O1,BNEZOCCINNOLINENOXIDE,2.24,3.77,1.53,Daylight (1999)
2-91-1,N,C18H28N2O3,11DIMETHYL3PHENYLUREA3METHYL4522DIET..,2.76,4.31,1.55,BioByte (1995)
2-91-2,N,C6CL9N3,246TRISTRICHLORMETHYLSYMTRIAZINE,3.75,5.51,1.76,BioByte (1995)
2-91-3,N,C10H12N4O5,BENZOTRIAZINE14DINOXIDE3AMINO723DIHY..,-1.1,-1.27,-0.17,Daylight (1999)
2-91-4,N,C8H13N3O1,IMIDAZOLE1TBUTYL2HYDROXYIMINOMETHYL,0.85,2.79,1.94,BioByte (1995)
2-91-5,N,C44H75N5O8,3AZAGLUTARAMIDEANALOGA37,3.6,4.0,0.4,BioByte (1995)
2-91-6,N,C23H35N1O5S1,MOXISYLYTEANALOG2BORNANONEMETHYLSU..,4.37,6.4,2.03,BioByte (1995)
2-91-7,N,C9H13F2N5O3S1,3NITROTRIAZOLENMETHIOPROPYLDIFLUOROPR..,0.76,0.75,-0.01,BioByte (1995)
2-91-8,N,C23H28N2O6S1,CEPHALOSPORINHEPTANOYLMANDELICANALOG,3.23,3.22,-0.01,BioByte (1995)
2-91-9,N,C22H32N4O6,ACLEUGLUPHEN,0.47,0.46,-0.01,BioByte (1995)
2-92-0,N,C13H13N1O3,8QUINOLINOL5ACETICACIDETHYLESTER,2.26,2.24,-0.02,BioByte (1995)
2-92-1,N,C10H11CL1N4O2,MIDAZOLIDINE2NITROMETHYLENE16CHL..,-0.19,-0.21,-0.02,BioByte (1995)
2-92-2,N,C12H12N4O3,PYRAZOLE3METHYL4NITRO5NPTOLYLCARBOXAMIDO,2.34,2.32,-0.02,BioByte (1995)
2-92-3,N,C18H18CL1F1N2O2,OCHLORODIBENZOYL1TBUTYLHYDRAZINE2FLUORO,2.63,2.6,-0.03,BioByte (1995)
2-92-4,N,C19H30N2O3,4PENTOXYCARBANILATEO2NPIPERIDINYLETHYL,4.9,4.86,-0.04,BioByte (1995)
2-92-5,N,C18H20O3S1,DIETHYLKETONE14METHYLPHENYL2BENZENESULF,2.7,2.66,-0.04,BioByte (1995)
2-92-6,N,C23CL1N3O2,RP62955,4.8,4.76,-0.04,BioByte (1995)
2-92-7,N,C24H34F1N1O4,DEXAMETHASONE17BNISOPROPYLCARBOXAMID..,2.43,2.39,-0.04,BioByte (1995)
2-92-8,N,C6H5CL1N2O2,PYRAZINE2CHLORO5METHOXYCARBONYL,0.47,0.42,-0.05,BioByte (1995)
2-92-9,N,C7H9CL3N4S1,sym-TRIAZINE-2TRICHL-ME-4MeS-6-EtAm,3.87,3.82,-0.05,BioByte (1995)
2-93-0,N,C11H8CL1N1O3,ISOQUINOLINE134TRIONE5CHLORO,1.43,1.38,-0.05,BioByte (1995)
2-93-1,N,C10H10CL1N3O2S1,THIAZOLIDINE2NITROMETHYLENE36CHLORO3PY..,0.65,0.59,-0.06,BioByte (1995)
2-93-2,N,C7H10N4O6,124TRIAZOLE3NITRO1DRIBOFURANOSE,-1.54,-1.6,-0.06,BioByte (1995)
2-93-3,N,C22H30F1N1O4,DEXAMETHASONE17BNMETHYLCARBOXAMIDEANALOG,1.54,1.48,-0.06,BioByte (1995)
2-93-4,N,C8H9CL1O2,ETHYLENEGLYCOLMONO2CHLOROPHENYLETHER,1.81,1.74,-0.07,BioByte (1995)
2-93-5,N,C11H14N4O2,DIDEOXYPURINE6METHYL,-0.12,-0.19,-0.07,BioByte (1995)
2-93-6,N,C11H8CL4N4S1,"sym-Triazine,2-triCL-4MeS-6(4ClPhAm)",5.71,5.64,-0.07,BioByte (1995)
2-93-7,N,C27H40F1N1O4,DEXAMETHASONE17BNIHEXYLCARBOXAMIDEANALOG,3.93,3.86,-0.07,BioByte (1995)
2-93-8,N,C12H11N1O4,ISOQUINOLINE134TRIONE5METHOXY,0.9,0.82,-0.08,BioByte (1995)
2-94-0,N,C41H47N1O14,BACCATINIII13NBENZOYLISOSERINATE,1.75,1.67,-0.08,BioByte (1995)
2-94-1,N,C9H12O2,2PROPANOL1PHENOXY,1.61,1.52,-0.09,BioByte (1995)
2-94-2,N,C10H12CL1N5O3,NSC105014,0.02,-0.07,-0.09,BioByte (1995)
2-94-3,N,C19H22O3S1,DIETHYLKETONE14METHYLPHENYL24TOLUENESULF,3.3,3.21,-0.09,BioByte (1995)
2-94-4,N,C8H9CL1,MXYLENE4CHLORO,3.83,3.73,-0.1,BioByte (1995)
2-94-5,N,C23H32F1N1O4,DEXAMETHASONE17BNETHYLCARBOXAMIDEANALOG,2.07,1.97,-0.1,BioByte (1995)
2-94-6,N,C28H34F1N1O4,DEXAMETHASONE17BNBENZYLCARBOXAMIDEANALOG,3.28,3.18,-0.1,BioByte (1995)
2-94-7,N,C9H12O2,ETHYLENEGLYCOLMONO3METHYLPHENYLETHER,1.76,1.65,-0.1,BioByte (1995)
2-94-9,N,C12H11N1O4,ISOQUINOLINE134TRIONE8METHOXY,0.94,0.82,-0.12,BioByte (1995)
2-95-0,N,C9H13F2N5O4,3NITROTRIAZOLENMETHOXYPROPYLDIFLUORO..,0.01,-0.11,-0.12,BioByte (1995)
2-95-1,N,C16H23N3O3S1,ACMETPHEN,0.42,0.3,-0.12,BioByte (1995)
2-95-2,N,C11H4CL7N3S1,"s-Triazine,bis(24TriCLMe),6(4CLPh)S-",6.67,6.55,-0.12,BioByte (1995)
2-95-4,N,C12H8N2O3,ISOQUINOLINE134TRIONE5CYANO,0.41,0.28,-0.13,BioByte (1995)
2-95-5,N,C18H19CL1O3S1,DIETHYLKETONE14CHLOROPH-24TOLUEN-SO2,3.43,3.3,-0.13,BioByte (1995)
2-95-6,N,C24H34F1N1O4,DEXAMETHASONE17BNPROPYLCARBOXAMIDEANALOG,2.59,2.46,-0.13,BioByte (1995)
2-95-7,N,C25H36F1N1O4, DEXAMETHASONE17BNISOBUTYLCARBOXAMIDEAN,3.01,2.88,-0.13,BioByte (1995)
2-95-9,N,C20H22N2O6S1,CEPHALOSPORINBUTYROYLMANDELICANALOG,1.89,1.75,-0.14,BioByte (1995)
2-96-0,N,C8H9CL1,MXYLENE5CHLORO,3.88,3.73,-0.15,BioByte (1995)
2-96-1,N,C9H12N4O1,BENZAMIDE333DIMETHYLTRIAZENYL,1.3,1.15,-0.15,BioByte (1995)
2-96-2,N,C8H11F2N5O3S1,3NITROTRIAZOLETRIFLUOROPROPIONAMIDEAN,0.41,0.26,-0.15,BioByte (1995)
2-96-3,N,C18H35N5O4,ACORNILEVALN,-0.43,-0.58,-0.15,BioByte (1995)
2-96-4,N,C17H30N4O6,ACALAGLUALANTBU,-0.67,-0.82,-0.15,BioByte (1995)
2-96-5,N,C25H36F1N1O4,DEXAMETHASONE17BNBUTYLCARBOXAMIDEANALOG,3.1,2.95,-0.15,BioByte (1995)
2-96-6,N,C12H11N1O6,NITECAPONE,1.21,1.04,-0.17,BioByte (1995)
2-96-7,N,C24H32F1N1O6,DEXAMETHASONE17BNMETHOXYCARBOXYME..,1.69,1.52,-0.17,BioByte (1995)
2-96-8,N,C31H39N5O5,AERGOCRYPTINE2METHYL6NOR,3.15,2.98,-0.17,BioByte (1995)
2-96-9,N,C8H11F2N5O4,3NITROTRIAZOLENHYDROXYPROPYLDIFLUOROPR..,-0.63,-0.81,-0.18,BioByte (1995)
2-97-0,N,C23H37N7O4,ACLEUPHEARGN,-0.12,-0.3,-0.18,BioByte (1995)
2-97-1,N,C5H6F2N4O3,TRIAZINE3NITRO13HYDROXY22DIFLUOROPROPYL,-0.21,-0.4,-0.19,BioByte (1995)
2-97-2,N,C17H26N2O3,3PROPOXYCARBANILATEO2NPIPERIDINYLETHYL,4.06,3.87,-0.19,BioByte (1995)
2-97-4,N,C16H12CL1N3O3,14BENZODIAZEPIN2ONE-1ME-7NITRO-52CL-PH,2.56,2.36,-0.2,BioByte (1995)
2-97-5,N,C26H38F1N1O4,DEXAMETHASONE17BNPENTYLCARBOXAMIDEANALOG,3.64,3.44,-0.2,BioByte (1995)
2-97-6,N,C19H20N2O6S1,CEPHALOSPORINPROPIONYLMANDELICANALOG,1.47,1.26,-0.21,BioByte (1995)
2-97-7,N,C8H11N3O5,2NITROIMIDAZOLE12HYDROXY3ACETYLPROPYL,-0.37,-0.59,-0.22,BioByte (1995)
2-97-8,N,C12H23N3O3S1,ACMETVALN,-0.28,-0.5,-0.22,BioByte (1995)
2-97-9,N,C15H10Br1F1N2O1,14BENZODIAZEPIN2ONE13DIHYDRO7BR-52FLPH,2.98,2.76,-0.22,BioByte (1995)
2-98-0,N,C19H30N2O3,3PENTOXYCARBANILATEO2NPIPERIDINYLETHYL,5.08,4.86,-0.22,BioByte (1995)
2-98-1,N,C34H42O13,BACCATINIII13LACTATE,1.52,1.3,-0.22,BioByte (1995)
2-98-2,N,C9H7N1O2,QUINOLINE58DIHYDROXY,1.42,1.18,-0.24,BioByte (1995)
2-98-3,N,C6H8N6O2S1,CARBOXALDEHYDETHIOSEMICARBAZONE Deriv,0.65,0.41,-0.24,BioByte (1995)
2-98-4,N,C11H14N4O3,HEXAHYDROISOXAZOLE31METHYL5NITROIMDAZOL,2.22,2.08,-0.14,BioByte (1995)
2-98-5,N,C8H9CL1O2,ETHYLENEGLYCOLMONO4CHLOROPHENYLETHER,1.99,1.74,-0.25,BioByte (1995)
2-98-6,N,C9H11CL1O2,2PROPANOL14CHLOROPHENOXY,2.41,2.16,-0.25,BioByte (1995)
2-98-7,N,C10H7N1O2,8QUINOLINOL5FORMYL,1.63,1.38,-0.25,BioByte (1995)
2-98-8,N,C14H13N1O5,ISOQUINOLINE134TRIONE5ETHOXYCARBONYL,1.31,1.06,-0.25,BioByte (1995)
2-98-9,N,C18H18N2O6S1,CEPHALOSPORINACETYLMANDELICANALOG,1.02,0.77,-0.25,BioByte (1995)
2-99-0,N,C10H9N1O2,8QUINOLINOL5HYDROXYMETHYL,1.0,0.74,-0.26,BioByte (1995)
