CAS,Name,Mol Wt,Melt Pt (deg C),Reference
6214-20-6,Methyl p-Nitrobenzenesulfonate,217.2015,94,
6214-28-4,3-Chlorocrotonic acid,120.5363,61,
6223-78-5,"Hexane, 2,5-dichloro-2,5-dimethyl-",183.1227,67.5,
6225-06-5,"Pentanamide, N,N-dimethyl-",129.2037,-51,
6232-56-0,C.I. DISPERSE ORGANGE 5,369.2098,127,
6232-88-8,4-(BROMOMETHYL)BENZOIC ACID,215.0478,228-232,
6236-05-1,NIFUROXIME,156.0986,163,
6236-88-0,"CYCLOHEXANE, 1-ETHYL-4-METHYL-, TRANS-",126.2438,-80.8,
6253-10-7,C.I. DISPERSE ORANGE 13,352.399,210.5,
6258-66-8,4-CHLOR-BENZYLTHIOL,158.6508,19.5,
6274-12-0,"DIETHYLAMINE, HYDROBROMIDE",154.0509,218-220,
6277-14-1,Acetoxolone,512.7364,323,
6279-86-3,2-Ethoxycarbonyl-malonic acid diethyl ester,232.2354,29,
6280-88-2,2-NITRO-4-CHLOROBENZOIC ACID,201.5672,143-145,
6283-25-6,2-Chloro-5-nitroaniline,172.572,121,CRC Handbook
6284-40-8,"D-Glucitol, 1-deoxy-1-(methylamino)-",195.2172,128.5,
6284-84-0,"PIPERAZINE, 2,5-DIMETHYL-, CIS-",114.1919,114,
6285-05-8,"1-Propanone, 1-(4-chlorophenyl)-",168.6245,37.3,
6287-38-3,"3,4-DICHLOROBENZALDEHYDE",175.0153,44,
6294-89-9,"Hydrazinecarboxylic acid, methyl ester",90.0823,73,
6298-37-9,6-AMINOQUINOXALINE,145.1651,159,
6302-94-9,"5-Methyl-[1,3,5]dithiazinane",135.251,65,
6304-39-8,OCTANOIC ACID HYDRAZIDE,158.2455,87-89,
6310-09-4,1-(5-Chloro-thiophen-2-yl)-ethanone,160.6232,52,
6315-96-4,Ethyl 2-naphthyl ketone,184.24,60,
6319-21-7,(2-METHOXYPHENYL)PHENYLDIAZENE,212.2534,41,
6319-40-0,"Benzoic acid, 4-bromo-3-nitro-",246.0182,203.5,
6320-40-7,"2,4,6-Tribromotoluene",328.8299,70,
6325-93-5,4-NITROBENZENESULFONAMIDE,202.1897,178-180,
6326-44-9,2-Formylamino-malonic acid diethyl ester,203.1965,48.5,
6339-03-3,"…-D-Glucofuranose, 1,2-O-(1-methylethylidene)-, ",532.5523,199.0,
6344-63-4,9H-FLUOREN-1-AMINE,181.2393,125-126,
6344-72-5,"QUINOXALINE, 6-METHYL-",144.1775,218.5,
6351-10-6,"1H-INDEN-1-OL, 2,3-DIHYDRO-",134.1795,54.8,
6358-53-8,Citrus Red 2,308.3398,156,
6358-85-6,C.I. PIGMENT YELLOW 12,629.5078,320,
6361-23-5,"2,5-Dichloro-benzaldehyde",175.0153,58,
6373-50-8,"BENZENAMINE, 4-CYCLOHEXYL-",175.276,53-56,
6373-73-5,"N-(2,4-DINITROPHENYL)-1,4-BENZENEDIAMINE",274.2379,188,
6377-18-0,Chartreusin,640.6034,185,
6378-65-0,"Hexanoic acid, hexyl ester",200.3239,-55,
6379-69-7,TRICHOTHECIN,332.4001,118.0,
6380-21-8,2-Propenyl-phenol,134.1795,-6,
6380-24-1,"4-Allyl-1,2-dimethoxy-benzene",178.233,70,
6380-34-3,Phenyl arsenic diiodide,405.8371,15,
6382-13-4,"Octadecanoic acid, pentyl ester",354.6219,30,
6386-63-6,Cloxyfonac,216.6227,141,
6388-47-2,2-Amino-3-chlorobenzoic Acid,171.5844,190,
6392-46-7,Allyxycarb [BSI:ISO],274.3659,67,"Shiu, WY et al. (1990)"
6393-42-6,"2,6-Dinitro-4-methylaniline",197.1515,171.5,"Lewis, RJ (2000)"
6402-36-4,Traumatic Acid,228.2908,165.5,
6419-19-8,(Nitrilotris(methylene))triphosphonic acid,299.0518,90.3,"Jaworska, J et al. (2002)"
6422-86-2,BIS(2-ETHYLHEXYL) TEREPHTHALATE,390.5681,-48,
6482-34-4,"CARBONIC ACID, BIS(1-METHYLETHYL) ESTER",146.1878,< 25,
6485-40-1,(R)-(-)-CARVONE,150.2225,< 25,
6506-37-2,"MORPHOLINE, 4-[2-(5-NITRO-1H-IMIDAZOL-1-YL)ETHYL",226.2369,110-111,
6531-35-7,"9,10-ANTHRACENEDIONE, 2,3-DIMETHYL-",236.2728,210.8,
6533-00-2,Norgestrel,312.4561,206,
6533-73-9,"CARBONIC ACID, DITHALLIUM (1+) SALT",468.7493,272,
6533-78-4,Antimony Thioglycollamide,392.1228,140,
6536-18-1,Morazone,377.4905,149.5,
6556-11-2,Inositol Niacinate,810.7404,254.6,
6556-12-3,GLUCURONIC ACID,194.1424,165,
6592-85-4,"5,6,7,8-TETRAHYDRO-6-METHYL-1,3-DIOXOLO(4,5-G)I*",383.4046,116.5,
6600-40-4,NORVALINE,117.1489,307,
6602-28-4,3-HYDROXYPYRIDINE-N-OXIDE,113.117,190-192,
6609-56-9,2-Methoxy-benzonitrile,133.1511,24.5,
6616-80-4,Eglinazine ethyl,259.6972,228.0,
6620-60-6,Proglumide,334.4189,143.5,
6626-15-9,4-BROMORESORCINOL,189.0095,103,
6626-32-0,"2,6-Dipropyl-phenol",178.2767,27,
6628-04-2,2-Methyl-quinolin-4-ylamine,158.2046,169,
6628-77-9,6-Methoxy-pyridin-3-ylamine,124.1435,30,
6628-80-4,"CYCLOHEXANOL, 2-CHLORO-, TRANS-",134.607,29,
6628-97-3,"1,4-NAPHTHOQUINONE, 2-ANILINO",249.2716,193,
6630-33-7,"Benzaldehyde, 2-bromo-",185.0213,21.5,
6639-30-1,"2,4,5-TRICHLOROTOLUENE",195.4769,82.4,
6657-33-6,"PROPANENITRILE, 3-  4- (2-CHLORO-4-NITROPHENYL)A",373.8018,157,
6665-86-7,"4H-1-BENZOPYRAN-4-ONE, 7-HYDROXY-2-PHENYL-",238.2452,245-247,
6669-13-2,"BENZENE, (1,1-DIMETHYLETHOXY)-",150.2225,-24,
6673-35-4,PRACTOLOL,266.343,134-136,
6683-19-8,Irganox 1010,1177.6675,116.5 dec,ALDRICH (2000)
6693-29-4,"Cyclohexanamine, 4,4'-methylenebis-,  trans(tran",210.3656,64.7,
6693-30-7,"Cyclohexanamine, 4,4'-methylenebis-,  trans(cis)",210.3656,36.5,
6693-31-8,"Cyclohexanamine, 4,4'-methylenebis-,  cis(cis) -",210.3656,61,
6697-12-7,HEXADECANOPHENONE,316.5316,59,
6703-82-8,1-CYCLOPENTYLHENEICOSANE,364.7043,42,
6709-22-4,"2,2,3-Trimethyl-cyclopent-3-enecarboxylic acid",154.2107,40.5,
6709-39-3,"1,5-Heptadiene, 2,6-dimethyl-",124.2279,-70,
6731-36-8,"Di-tert-butylperoxy-3,3,5-trimethylcyclohexane p",302.4581,-30,CHEM INSPECT TESTING INST (1992)
6740-88-1,KETAMINE,237.7316,92.5,
6742-54-7,1-PHENYLUNDECANE,232.4127,-5,
6753-98-6,Humulene,204.3585,< 25,
6754-13-8,HELENALIN,262.3083,167-168,
6765-39-5,1-HEPTADECENE,238.4605,11.5,
6781-42-6,M-ACETYLACETOPHENONE,162.19,32,
6781-98-2,"BENZENE, 2-CHLORO-1,3-DIMETHYL-",140.6139,-35,
6785-23-5,"CYCLOPENTANE, UNDECYL-",224.4334,-10,
6795-87-5,SEC-BUTYL METHYL ETHER,88.1508,-100,
6804-07-5,Carbadox,262.2268,240,
6812-38-0,1-CYCLOHEXYLHEXADECANE,308.596,33.6,
6812-78-8,Rhodinol,156.2703,< 25,
6814-58-0,"1H-PYRAZOLE, 3-CHLORO-5-METHYL-4-NITRO-",161.5484,111,
6829-98-7,Imipramine N-Oxide,296.4159,121 dec,
6833-84-7,Nonactin,736.9489,147.5,
6834-98-6,Fungichromin,670.8453,160 dec,
6836-38-0,6-DODECANOL,186.3404,30,
6863-58-7,DI (SEC-BUTYL) ETHER,130.2321,-100,
6876-23-9,"1,2-DIMETHYLCYCLOHEXANE (TRANS)",112.2167,-90,
6878-83-7,Tecomanine,179.2642,< 25,
6879-02-3,Tylocrebrine,393.4871,220,
6891-45-8,2-Butyl-4-methyl-phenol,164.2496,19,
6892-68-8,DITHIOERYTHRITOL,154.2511,83,
6893-02-3,"O-(4-HYDROXY-3-IODOPHENYL)-3,5-DIIODO-L-TYROSINE",650.9804,236.5 dec,
6893-26-1,D-Glutamic acid,147.1318,201.0,
6915-15-7,MALIC ACID,134.0894,131,
6921-64-8,"Ethanone, 1-(2-hydroxy-4-methylphenyl)-",150.1789,21,
6923-22-4,AZODRIN,223.1671,55,
6926-58-5,"4,4-DIMETHYLTHIOSEMICARBAZIDE",119.1893,153 dec,
6933-10-4,3-METHYL-4-BROMOANILINE,186.0525,81,
6936-40-9,"BENZENE, 1,2,4,5-TETRACHLORO-3-METHOXY-",245.9213,87-90,
6938-94-9,"Hexanedioic acid, bis(1-methylethyl) ester",230.3067,-1.1,
6940-09-6,Octadecanoic acid tetrahydrofuran2ylmethyl ester,368.6053,22,
6940-50-7,p-Bromomandelic Acid,231.0472,117.5,
6941-69-1,Chloro-acetic acid 2(2-chloroacetoxy)ethyl ester,215.0343,45.5,
6942-99-0,"BENZENE, 2,4-DIBROMO-1,3,5-TRIMETHYL-",277.988,65.5,
6946-15-2,3-Hydroxy-4-methyl-2-nitrobenzoic acid,197.1487,186,
6946-29-8,p-Aminosalicylic Acid Hydrazide,167.1687,195,
6949-73-1,2-Hydroxy-9-fluorenone,196.2075,205,
6950-84-1,Naphthalen-1-yl-urea,186.2152,219.5,
6951-08-2,"1,3-Benzodioxole-5-carboxylic acid, ethyl ester",194.1888,18.5,
6952-59-6,3-BROMOBENZONITRILE,182.0206,39.5,
6961-46-2,Idrocilamide,191.2318,101,
6964-20-1,Tiadenol,294.522,69.5,
6967-12-0,6-Aminoindazole,133.1539,205 dec,ALDRICH (2000)
6975-60-6,"2-Propanone, 1-(2-furanyl)-",124.1406,29,
6975-98-0,2-METHYLDECANE,156.3139,-48.9,
6976-72-3,Hexanoic acid heptyl ester,214.351,-34.4,
6980-18-3,Kasugamycin,379.37,203 dec,Tomlin (2003)
6982-25-8,"DL-2,3-BUTANDIOL",90.1231,7.6,
6983-79-5,Bixin,394.5154,198,
6988-21-2,DIOXACARB,223.2306,114.5,
6990-06-3,Fusidic Acid,516.7246,192.5,
6995-79-5,"1,4-Cyclohexanediol, trans-",116.1613,143,
6996-81-2,"Phosphonothioic acid, methyl-, diethyl ester",168.196,-84.4,
6996-92-5,PHENYL-SELENSAEURE,189.0735,124.5,
6998-60-3,Rifamycin SV,697.7866,300,
7004-98-0,Epimestrol,302.4173,159,
7005-47-2,DMAMP,117.1926,19,
7012-16-0,"2,7-Dichloro-9H-fluorene",235.1147,128,
7035-03-2,(2-Methoxy-phenyl)-acetonitrile,147.1782,69.8,
7047-84-9,Aluminum monostearate,344.4747,155,
7051-16-3,"Benzene, 1-chloro-3,5-dimethoxy-",172.6127,35,ALDRICH (2000)
7085-19-0,MCPP,214.6504,94,
7094-26-0,"CYCLOHEXANE, 1,1,2-TRIMETHYL-",126.2438,-29,
7098-22-8,TETRATETRACONTANE,619.2079,87-88,
7119-94-0,"PIPERIDINE, 1-NITRO-",130.1477,-5.5,
7132-64-1,METHYL PENTADECANOATE,256.4322,18.5,
7144-05-0,4-Piperidinemethanamine,114.1919,25,
7145-20-2,"2,3-DIMETHYL-2-HEXENE",112.2167,-115.1,
7147-89-9,4-CHLORO-5-METHYL-2-NITROPHENOL,187.5838,133,
7149-70-4,4-Bromo-2-methyl-1-nitro-benzene,216.0354,78,
7149-75-9,3-METHYL-4-CHLOROANILINE,141.6015,83.5,
7152-15-0,"PENTANOIC ACID, 4-METHYL-3-OXO-, ETHYL ESTER",158.199,-9,
7154-66-7,2-Bromo-benzoyl chloride,219.4663,11,
7154-75-8,"1-PENTYNE, 4-METHYL-",82.1466,-104.6,
7154-79-2,"2,2,3,3-TETRAMETHYLPENTANE",128.2598,-9.8,
7164-98-9,1-Phenyl-1H-imidazole,144.1775,13,
7169-34-8,3(2H)-BENZOFURANONE,134.1358,102.5,
7170-38-9,3-Phenoxy-propionic acid,166.1782,97.5,
7177-48-2,Ampicillin Trihydrate,349.4115,198.0,
7187-01-1,2-Furanacrylonitrile,119.124,38,
7199-29-3,Cyheptamide,237.3041,193.5,
7200-25-1,DL-Arginine,174.2041,217 dec,
7203-96-5,2-AZACYCLOHEPTANTHIONE,129.2253,107-110,
7205-98-3,CHLOROMETHYL PHENYL SULFONE,190.6496,53-55,
7209-38-3,"1,4-PIPERAZINEDIPROPANAMINE",200.3296,15,
7212-44-4,Nerolidol,222.3739,< 25,
7216-56-0,"2,6-Dimethyl-octa-2,4,6-triene",136.239,-20.6,
7216-97-9,DIMETHYLBORANE,41.8891,-72.5,
7220-81-7,AFLATOXIN B2,314.2975,287.5,
7225-66-3,"TRIDECANE, 7-HEXYL-",268.5307,-28.3,
7235-40-7,".beta.,.beta.-Carotene",536.8923,183,
7236-47-7,b-Benzalbutyramide,175.2324,133,
7242-17-3,"2-Butenedioic acid (Z)-, diphenyl ester",268.2716,73,
7246-21-1,Tyropanoate Sodium,663.0106,209,
7251-61-8,2-METHYLQUINOXALINE,144.1775,180.5,
7261-97-4,DANTROLENE,314.2596,279-280,
7283-70-7,But-2-enedioic acid diisopropyl ester,200.2366,2.1,
7287-19-6,PROMETRYNE,241.3604,119,
7287-36-7,MONALIDE (POTABLAN),239.7475,87-88,
7292-16-2,PROPAPHOS,304.3477,< 25,
7297-25-8,Erythrityl Tetranitrate,302.112,61,
7307-55-3,N-UNDECYLAMIN,171.3286,17,
7311-34-4,"3,5-Dimethoxy-benzaldehyde",166.1782,46.3,
7319-00-8,"TRANS-1,4-HEXADIENE",82.1466,-138.7,
7321-55-3,DIMETHYLMALONONITRILE,94.117,31.5,
7327-60-8,"Acetonitrile, 2,2',2''-nitrilotris-",134.1415,126,"Daubert, TE & Danner, RP (1995)"
7359-72-0,"2,3,4-TRICHLOROTOLUENE",195.4769,43.5,
7361-61-7,Xylazine,220.3387,140,
7365-45-9,HEPES,238.3077,234,
7369-50-8,1-Ethyl-3-nitrobenzene,151.1664,-37.9,
7377-03-9,Octanohydroxamic Acid,159.2302,78.75,
7378-99-6,Octyldimethylamine,157.3015,-57,ChemFinder (2005)
7383-90-6,"1,1'-BIPHENYL, 3,4'-DIMETHYL-",182.2677,14.5,
7385-82-2,"2-HEXENE, 5-METHYL-, (E)-",98.1896,-124.3,
7398-82-5,"1,4-Bis-dichloromethyl-benzene",243.949,9.5,
7400-08-0,"CINNAMIC ACID, P-HYDROXY",164.1623,211.5,
7411-49-6,"3,3'-Diaminobenzidine tetrachloride",360.1161,179,
7413-36-7,1(4-NO2 PH)-2-ISOPROPYLAMINO-ETHANOL,224.2618,98,
7416-34-4,Molindone,276.3819,180.5,
7423-55-4,N-MALEOYL-3-AMINOPROPIONIC ACID,169.1381,103-106,
7428-48-0,"OCTADECANOIC ACID, LEAD SALT",774.1469,115.7,
7432-25-9,Etaqualone,264.3299,81,
7433-56-9,trans-5-Decene,140.2709,-73,
7433-78-5,cis-Decene,140.2709,-112,
7439-90-9,KRYPTON,83.8,< -153,
7439-92-1,LEAD,209.2059,327.5,
7439-95-4,MAGNESIUM,26.3279,651,
7439-96-5,MANGANESE,54.938,1244,
7439-97-6,MERCURY,200.59,-38.8,
7439-98-7,MOLYBDENUM,95.94,2622,
7440-06-4,PLATINUM,195.09,1773.5,
7440-09-7,POTASSIUM,39.102,681,CRC (2005)
7440-17-7,RUBIDIUM,86.478,39,
7440-22-4,SILVER,107.87,960.5,
7440-23-5,SODIUM,22.9898,97.82,
7440-24-6,STRONTIUM,87.62,777,
7440-28-0,THALLIUM,205.378,303.5,
7440-33-7,TUNGSTEN,183.85,3410,
7440-36-0,ANTIMONY,124.7739,630,
7440-37-1,ARGON,39.948,< -185,
7440-38-2,ARSENIC,77.9455,> 615,
7440-39-3,BARIUM,139.3559,710,
7440-41-7,BERYLLIUM,11.0281,986,
7440-43-9,CADMIUM,112.4,321,
7440-47-3,CHROMIUM,51.996,1900,
7440-50-8,COPPER,63.546,1083,
7440-57-5,GOLD,196.967,1064,
7440-63-3,XENON,131.3,< -108,
7440-66-6,ZINC,65.37,419.5,
7440-69-9,BISMUTH,212.0039,271,
7440-70-2,CALCIUM,42.0959,850,
7443-52-9,2-METHYLCYCLOHEXANOL (TRANS),114.189,-21,
7443-55-2,3-METHYLCYCLOHEXANOL (TRANS),114.189,-0.5,
7443-70-1,2-METHYLCYCLOHEXANOL (CIS),114.189,7,
7446-08-4,SELENIUM DIOXIDE,110.9588,340,
7446-09-5,SULFUR DIOXIDE,64.0628,-72,
7446-11-9,SULFUR TRIOXIDE,80.0622,16.8-62.3,
7446-14-2,LEAD SULFATE,303.2516,1170,
7446-18-6,THALLIUM (I) SULFATE,504.8016,632,
7446-27-7,"PHOSPHORIC ACID, LEAD (2+) SALT",811.5128,1014,
7481-89-2,"CYTIDINE, 2',3'-DIDEOXY-",211.2223,217-218,
7487-94-7,MERCURY CHLORIDE,271.496,277,
7488-56-4,SELENIUM DISULFIDE,143.088,113 dec,
7488-99-5,alpha-Carotene,536.8923,187.5,
7491-74-9,Piracetam,142.1588,152,Merck Index
7493-82-5,"Heptanoic acid, pentyl ester",200.3239,-50,
7498-57-9,Naphthalen-2-yl-acetonitrile,167.2122,83,
7500-53-0,"1,2-BENZENEDIACETIC ACID",194.1888,150-152,
7524-63-2,"NAPHTHALENE, 1,2,3,4-TETRAHYDRO-2,6-DIMETHYL-",160.2613,20,
7525-62-4,M-ETHYLSTYRENE,132.2071,-101,
7526-26-3,"Phosphonic acid, methyl-, diphenyl ester",248.2206,35,
7553-56-2,IODINE,253.8088,113.6,CRC (2005)
7558-80-7,"PHOSPHORIC ACID, MONOSODIUM SALT",119.9771,60,
7564-63-8,2-ETHYLSTYRENE,132.2071,-75.5,
7568-93-6,PHENYLETHANOLAMINE,137.183,56.5,
7570-26-5,"1,2-Dinitroethane",121.0732,39.5,
7572-29-4,Dichloroacetylene,94.9283,-66,
7581-97-7,"2,3-DICHLOROBUTANE",127.0144,-80,
7601-54-9,TRISODIUM PHOSPHATE,163.9408,75,
7601-89-0,SODIUM PERCHLORATE,122.4404,480 dec,
7614-93-9,"BENZENE, 1,1'-(3-METHYL-1-PROPENE-1,3-DIYL)BIS-",208.3059,47.5,
7615-57-8,"S-TRIAZINE-2,4,6-TRICARBONITRILE",156.1071,119,
7616-22-0,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethy",416.6936,-3,
7631-89-2,SODIUM ARSENATE,207.8886,86.3,
7631-99-4,SODIUM NITRATE,84.9947,306.8,
7632-51-1,VANADIUM TETRACHLORIDE,192.754,-25.7,
7637-07-2,BORON FLUORIDE,67.8062,-126.8,CRC (2000)
7642-04-8,2-OCTENE (CIS),112.2167,-100.2,
7642-09-3,"3-HEXENE, (Z)-",84.1625,-137.8,
7642-10-6,3-HEPTENE (CIS),98.1896,-136.6,
7642-15-1,"4-OCTENE, (Z)-",112.2167,-118.7,
7647-14-5,SODIUM CHLORIDE,58.4428,804,
7654-03-7,Benmoxine,240.3076,93.5,
7658-08-4,Quinovose,164.1595,139.5,
7661-55-4,"QUINOLINE, 5-METHYL-",143.1899,19,
7664-38-2,PHOSPHORIC ACID,97.9953,42.35,
7664-39-3,HYDROGEN FLUORIDE,20.0064,-83.55,Merck Index (2001)
7664-41-7,AMMONIA,17.0306,-77.7,
7664-93-9,SULFURIC ACID,98.0775,10.31,
7665-72-7,"Oxirane,  (1,1-dimethylethoxy)methyl -",130.1884,-70,
7667-55-2,"CYCLOHEXANE, 1,2,3-TRIMETHYL-, (1.ALPHA.,2.ALPHA",126.2438,-85.7,
7667-60-9,"CYCLOHEXANE, 1,2,4-TRIMETHYL-, (1.ALPHA.,2.BETA.",126.2438,-83.5,
7681-49-4,SODIUM FLUORIDE,41.9882,993,
7681-52-9,SODIUM HYPOCHLORITE,74.4422,18,
7681-76-7,RONIDAZOLE,202.171,168,
7681-93-8,PIMARICIN (Natamycin),665.7414,290 dec,
7683-59-2,"1,2-Benzenediol, 4-[1-hydroxy-2-[(1-methylethyl)",211.263,170.5,
7688-21-3,2-HEXENE (Z),84.1625,-141.1,
7693-52-9,4-BROMO-2-NITROPHENOL,218.0077,92,
7696-12-0,PHTHALTHRIN,331.4154,69,
7697-37-2,NITRIC ACID,63.0129,-41.59,
7704-34-9,SULFUR,32.064,112,
7705-14-8,DIPENTENE (+-),136.239,< 25,
7712-50-7,Myrtecaine,265.4427,< 25,
7716-60-1,Etisazol,178.2575,78,
7719-09-7,THIONYL CHLORIDE,118.9694,-104.5,
7719-12-2,PHOSPHORUS TRICHLORIDE,137.3328,-112,
7721-01-9,TANTALUM PENTACHLORIDE,358.213,216.5-220,
7722-64-7,POTASSIUM PERMANGANATE,158.0376,240 dec,
7722-84-1,HYDROGEN PEROXIDE,34.0147,-0.43,
7722-88-5,TETRASODIUM PYROPHOSPHATE,265.9026,79.5,
7723-14-0,PHOSPHORUS,33.9977,44.1,Kirk-Othmer
7726-95-6,BROMINE,159.818,-7.25,Merck Index 13th
7727-18-6,TRICHLOROOXOVANADIUM,173.3004,-77,
7727-37-9,NITROGEN,28.0134,-210.01,
7731-28-4,4-METHYLCYCLOHEXANOL (CIS),114.189,-9.2,
7732-18-5,WATER,18.0153,0,
7745-91-7,3-Bromo-4-methylaniline,186.0525,26,
7745-93-9,3-Bromo-4-methyl nitrobenzene,216.0354,78,
7756-94-7,TRIISOBUTYLENE,336.6502,-76,
7758-01-2,POTASSIUM BROMATE,167.0042,350,
7758-05-6,POTASSIUM IODATE,214.0046,560,
7758-95-4,LEAD CHLORIDE,278.096,501,
7758-98-7,COPPER(2+) SULFATE,159.6076,560 dec,
7771-44-0,"Eicosa-5,8,11,14-tetraenoic acid",304.4768,-49.5,
7775-09-9,SODIUM CHLORATE,106.441,248,
7775-19-1,"BORIC ACID, SODIUM SALT",65.7996,966,CRC (2000)
7778-54-3,CALCIUM HYPOCHLORITE,143.9928,100,
7778-74-7,POTASSIUM PERCHLORATE,138.5526,525,
7778-87-2,Heptanoic acid propyl ester,172.2697,-63.5,
7779-27-3,Vancide-TH,171.2878,70,ALDRICH (2000)
7781-98-8,ETHYL-3-HYDROXYBENZOATE,166.1783,74,
7782-41-4,FLUORINE,37.9968,-219.61,
7782-44-7,OXYGEN,31.9988,-218.4,
7782-49-2,SELENIUM,78.96,221,
7782-50-5,CHLORINE,70.906,-101,Merck Index (2001)
7782-79-8,HYDRAZOIC ACID,43.0281,-80,
7783-00-8,SELENIOUS ACID,128.9741,70 dec,
7783-06-4,HYDROGEN SULFIDE,34.0799,-85.49,
7783-07-5,HYDROGEN SELENIDE,80.9759,-65.73,
7783-08-6,SELENIC ACID,144.9735,58,
7783-42-8,THIONYL FLUORIDE,86.0602,-129.5,
7783-93-9,SILVER PERCHLORATE,208.3286,-6.15,
7784-34-1,ARSENIC TRICHLORIDE,181.2806,-16,
7784-42-1,ARSINE,77.9455,-117,
7785-26-4,"Bicyclo 3.1.1 hept-2-ene, 2,6,6-trimethyl-, (1S)",136.239,-61,
7785-70-8,(+)-alpha-Pinene,136.239,-62,
7786-34-7,MEVINPHOS,224.1519,13.95,
7787-20-4,(1R)-(-)-Fenchone,152.2384,5,
7789-20-0,DEUTERIUM OXIDE,21.9994,3.81,
7789-38-0,SODIUM BROMATE,150.892,381,
7789-60-8,PHOSPHOROUS TRIBROMIDE,270.7008,-41.5,
7789-80-2,CALCIUM IODATE,215.9906,540,
7789-92-6,"Propane, 1,3,3-triethoxy-",176.2579,53,ALDRICH (2000)
7790-47-8,TIN(IV)IODIDE,626.3076,143,
7790-94-5,CHLOROSULFONIC ACID,116.5232,-80,
7791-12-0,THALLIUM (I) CHLORIDE,239.823,430,
7791-21-1,CHLORINE OXIDE ,86.9054,-120.6,
7791-23-3,SELENIUM OXYCHLORIDE,165.8654,8.5,
7791-25-5,SULFURYL CHLORIDE,134.9688,-54.1,
7803-49-8,HYDROXYLAMINE,33.03,33,
7803-51-2,PHOSPHINE,33.9977,-133,
8001-35-2,TOXAPHENE (example isomer shown below),448.2602,77,
8003-22-3,SOLVENT YELLOW 33,273.2939,241,
8003-34-7,Pyrethrum,328.4555,76,"Tomlin, CDS (1997)"
8004-13-5,Dowtherm,154.2135,12,ChemFinder (2005)
8004-87-3,Basic violet 1,393.9639,137 dec,"Green, FJ (1990)"
8018-01-7,MANCOZEB,541.0316,198 dec,
8065-36-9,BUFENCARB,442.6038,26-39,
9002-93-1,Octoxynol 9 [USAN],250.3844,-4,ChemFinder (2005)
9004-57-3,Ethylcellulose,448.4855,151,"Hou, M et al. (1991)"
9006-42-2,METIRAM,504.1322,140 dec,
10004-44-1,3-HYDROXY-5-METHYLISOXAZOLE,99.09,86.5,
10022-60-3,Di(2-ethybutyl)adipate,314.4693,-15,
10024-97-2,NITROUS OXIDE,44.0128,-90.81,
10025-78-2,TRICHLOROSILANE,135.453,-126.5,
10025-91-9,ANTIMONY TRICHLORIDE,228.109,73,
10026-04-7,TETRACHLOROSILANE,169.898,-70,
10026-12-7,NIOBIUM PENTACHLORIDE,270.171,205-209.5,
10028-15-6,OZONE,47.9982,-193,
10031-82-0,"Benzaldehyde, 4-ethoxy-",150.1789,13.5,
10031-87-5,"1-Butanol, 2-ethyl-, acetate",144.2155,<-100,
10040-45-6,Picosulfate Sodium,481.4138,273 dec,
10043-35-3,BORIC ACID,61.8331,170.9,CRC 81st
10048-32-5,Parasorbic Acid,112.1295,< 25,
10054-21-4,1-LAURYL-4-CARBOXY-2-PYRROLIDONE,297.4415,39,
10061-01-5,"1,3-DICHLOROPROPENE, (Z)",110.9713,-50,
10075-50-0,5-BROMOINDOLE,196.0477,90-92,
10088-95-6,RADICININ,236.2264,221.5,
10102-43-9,NITROGEN OXIDE,31.0141,-163.6,
10102-44-0,NITROGEN DIOXIDE,46.0055,-9.3,
10102-45-1,"NITRIC ACID, THALLIUM (1+) SALT",267.3829,206,
10116-22-0,Demegestone,312.4561,106,
10118-56-6,Cascarillin,408.4961,205,
10136-65-9,Oxypinocamphone,168.2378,38.5,
10137-74-3,CALCIUM CHLORATE,206.9824,100,
10151-95-8,"ACETAMIDE, 2-NITRO-N-PHENYL-",180.1646,94,
10175-01-6,Dichloro tin diester,363.7944,132,
10191-18-1,BES,213.2542,154 dec,ChemFinder (2005)
10203-08-4,"Benzaldehyde, 3,5-dichloro-",175.0153,65,
10203-28-8,2-DODECANOL,186.3404,19,
10203-30-2,3-DODECANOL,186.3404,25,
10220-20-9,"PIPERIDINE, 1,1'-DITHIOBIS-",232.4123,64.2,
10222-01-2,"2,2-DIBROMO-2-CYANOACETAMIDE",241.8702,124.5,
10222-95-4,"BENZENE, 1,2,4-TRIMETHYL-5-(1-METHYLETHYL)-",162.2773,21,
10236-47-2,NARINGINE,580.5477,~83,
10238-21-8,Glyburide,494.0137,169.0,
10240-08-1,"1-NAPHTHALENOL, 4-METHYL-",158.2018,85.8,
10257-92-8,3-Methyl-2-phenyl-1H-indole,207.2776,91.5,
10262-69-8,Maprotiline,277.413,93,
10265-92-6,METHAMIDOPHOS,141.1294,46,
10276-09-2,"3-BUTENOIC ACID, 2,2-DIMETHYL-",114.1454,-6,
10283-15-5,"2-Chloro-3,4-dimethyl-phenol",156.6133,27,
10289-68-6,Tridecan-3-ol,200.3675,32,
10292-98-5,"BICYCLO[2.2.1]HEPTAN-2-ONE, 4,7,7-TRIMETHYL-, (1",152.2384,186.5,
10293-06-8,[1(R)-ENDO]-(+)-3-BROMOCAMPHER,231.1345,76,
10294-33-4,BORONTRIBROMIDE,250.538,-46,Merck Index (2003)
10294-34-5,BORON TRICHLORIDE,117.17,-107,Merck Index (2003)
